modele,prix_initial,prix_actuel,date_loc,info
ToyotaCorollaLIMITED EDITION,,12 907 €,,
HummerH3,,5 071 €,,
Ram trucksRam 1500V6 3.6,,23 971 €,,
ToyotaTacomaV6 3.5TRD OFF ROAD,,29 041 €,,
FordMustang,,32 268 €,,
ToyotaTacomaV6 3.5TRD OFF ROAD,,23 049 €,,
AudiQ5V6 3.0S LINEQUATTRO,,19 822 €,,
ToyotaSiennaLIMITED EDITION,,13 829 €,,
DodgeCharger,,5 716 €,,
HondaAccordSPORT,,15 673 €, 14.11.2023 ETATS-UNISDétail,ESSENCE97 365 Km2016AUTOMATIQUE96820DEVIS ASSURANCEVENDEZ
FordF150V6 3.5FX2,,14 751 €,,
DodgeChallengerRtV8 5.7,,14 751 €,,
ToyotaHighlanderLIMITED EDITION,,17 517 €,,
ToyotaTacoma,,20 744 €,,
MercedesClasse eE 350,,17 978 €,,
ToyotaTundraV8 5.7,,24 893 €,,
HondaCr-vEX,,25 354 €,,
JeepWranglerUnlimited,,26 276 €,,
ToyotaTundra,,6 454 €,,
MiniCountryman,,7 283 €,,
LexusSc 430V8 4.3,,10 137 €,,
NissanSentraSV,,8 759 €,,
VolvoXc90V6 3.2,,6 361 €,,
NissanRogueSV,,5 163 €,,
ToyotaHighlander,,5 440 €,,
NissanMurano,,5 440 €,,
ToyotaTacomaV6 3.5TRD SPORT,,28 119 €,,
SuzukiCarry,,6 454 €,,
HondaAccordEX L,,5 071 €,,
InfinitiM37V6 3.7,,6 361 €,,
KiaTelluride,,32 268 €,,
ToyotaTacoma,,32 268 €,,
LexusEs 350,,13 368 €,,
LexusEs 330,,5 440 €,,
MercedesClasse clkClk 350prix initial : 12 446,,11 709 €, 14.11.2023 ETATS-UNISDétail,ESSENCE51 660 Km2007AUTOMATIQUE96820DEVIS ASSURANCEVENDEZ
NissanAltima,,2 489 €,,
SaturnVue,,3 227 €,,
Land roverLr2HSE,,4 609 €,,
FordFiestaTITANIUM,,5 163 €,,
ToyotaHighlanderLIMITED EDITION,,5 440 €,,
KiaSorentoSPORT,,11 059 €,,
ScionTc,,9 220 €,,
FordMustangGtV8 4.6GT PREMIUM,,6 269 €,,
FordExplorerV6 3.5SPORT,,11 524 €,,
ToyotaTacoma,,13 829 €,,
HondaCr-vEX L,,13 368 €,,
Mazda3TOURING,,8 759 €,,
MercedesClasse slSl 500,,13 737 €,,
HyundaiSonata,,10 602 €,,
BmwSerie 3328,,6 269 €,,
HyundaiAccent,,5 440 €,,
BmwSerie 3328,,5 808 €,,
ToyotaCorolla,,5 440 €,,
AcuraIlx,,8 205 €,,
ChevroletSonicLS,,7 371 €,,
ToyotaRav4,,11 059 €,,
ToyotaPriusTHREE,,13 825 €,,
ToyotaRav4,,8 293 €,,
BmwSerie 3330,,17 516 €,,
GmcSierra 1500V8 5.3SLT,,23 049 €, 15.11.2023 ETATS-UNISDétail,ESSENCE166 567 Km2015AUTOMATIQUE96820DEVIS ASSURANCEVENDEZ
ToyotaTacomaV6 3.5TRD SPORT,,23 049 €,,
ToyotaSiennaSE,,16 590 €,,
HondaOdysseyEX,,14 747 €,,
AcuraRlx,,15 669 €,,
BmwSerie 3330e,,16 590 €,,
BmwX635iM SPORT,,24 888 €,,
Mazda5,,10 141 €,,
ChevroletAveoLT,,3 227 €,,
CadillacSeville,,3 411 €,,
ChevroletImpalaLTZ,,6 915 €,,
ToyotaSiennaLIMITED EDITION,,5 527 €,,
DodgeJourney,,5 993 €,,
ToyotaCamrySE,,12 903 €,,
ToyotaCamrySE,,11 059 €,,
Land roverRange roverV8 5.0HSE,,9 220 €,,
HondaActy,,9 220 €,,
ToyotaCamryLIMITED EDITION,,7 283 €,,
HondaCr-vSPORT,,11 981 €,,
VolkswagenPassat1.8S,,13 825 €,,
ToyotaRav4LIMITED EDITION,,7 371 €,,
ToyotaCorollaS,,10 137 €,,
ScionXd,,6 269 €,,
ToyotaCamryUP,,6 915 €,,
NissanAltima,,11 063 €,,
BmwX535i,,6 638 €, 16.11.2023 ETATS-UNISDétail,ESSENCE136 794 Km2012AUTOMATIQUE96820DEVIS ASSURANCEVENDEZ
VolkswagenPassatS,,6 915 €,,
ToyotaPrius+,,19 361 €,,
NissanFrontier,,17 517 €,,
Mazda3,,17 978 €,,
Ram trucksRam 1500V6 3.6,,14 751 €,,
ToyotaTacomaV6 3.5TRD SPORT,,23 049 €,,
MazdaMx5,,21 666 €,,
ToyotaPrius cONE,,15 669 €,,
AudiA3S3PREMIUM EDITION,,22 122 €,,
ToyotaCamryLIMITED EDITION,,14 747 €,,
DodgeChargerR/t,,20 278 €,,
JeepWranglerUnlimited,,17 056 €,,
NissanRogue,,23 049 €,,
ChevroletTraverse,,27 659 €,,
MercedesClasse glcGlc 300,,27 659 €,,
Land roverRange rover sportHSE,,25 810 €,,
ToyotaTacoma,,30 885 €,,
ToyotaTacomaV6 3.5TRD SPORT,,28 580 €,,
LexusEs 330,,3 319 €,,
ToyotaSupra,,50 707 €,,
AudiQ5Sq5V6 3.0,,41 488 €,,
DodgeCharger,,3 688 €,,
Mazda3,,4 241 €,,
BmwSerie 5550,,3 503 €,,
ChevroletMalibu,,3 872 €, 16.11.2023 ETATS-UNISDétail,ESSENCE204 387 Km2011AUTOMATIQUE96820DEVIS ASSURANCEVENDEZ
FordF350,,62 232 €,,
NissanAltima,,7 283 €,,
ScionXb,,5 163 €,,
LexusNx 300h,,27 659 €,,
ToyotaTacomaTRD SPORT,,27 654 €,,
ToyotaTacomaV6 3.5TRD SPORT,,25 815 €,,
ToyotaTacomaV6 3.5TRD OFF ROAD,,26 737 €,,
LexusRx 350,,23 971 €,,
ToyotaCamryLIMITED EDITION,,4 605 €,,
OldsmobileIntrigueV6 3.5,,1 383 €,,
NissanVersa,,3 596 €,,
InfinitiG35,,4 610 €,,
ChevroletMalibu,,4 886 €,,
LexusIs 250,,10 137 €,,
DodgeGrand caravanV6 3.6prix initial : 11 980,,11 059 €,,
Toyota4runnerV6 3.0,,7 560 €,,
Mazda3Skyactiv g,,10 141 €,,
Mazda3,,7 837 €,,
FordF450,,9 220 €,,
ToyotaYaris,,5 440 €,,
ToyotaCorollaXRS,,4 886 €,,
HondaCr-vSPORT,,6 449 €,,
NissanPathfinderS,,9 215 €,,
LexusIs 350F SPORT,,10 137 €,,
ToyotaPriusTHREE,,11 981 €, 17.11.2023 ETATS-UNISDétail,HYBRIDE194 277 Km2015AUTOMATIQUE96898DEVIS ASSURANCEVENDEZ
ToyotaRav4LIMITED EDITION,,13 825 €,,
ToyotaHighlander,,10 137 €,,
FordExplorerSPORT,,11 981 €,,
ToyotaCamryLIMITED EDITION,,8 293 €,,
VolkswagenGolfGti,,17 056 €,,
HondaCivic,,19 361 €,,
ToyotaSiennaSE,,14 751 €,,
LexusRx 350F SPORT,,20 278 €,,
MercedesClasse mMl 350,,14 747 €,,
FordMustang cabrioletGT PREMIUM,,15 669 €,,
FordMustang cabriolet,,27 659 €,,
ToyotaCorolla2.0SE,,23 510 €,,
GmcCanyonV6 3.6SLE,,23 510 €,,
FordRanger,,4 149 €,,
NissanVersa,,4 518 €,,
ToyotaCorollaLIMITED EDITION,,3 503 €,,
ToyotaHighlander,,4 610 €,,
Mazda5,,4 149 €,,
BmwSerie 3325,,3 227 €,,
HyundaiElantra,,16 595 €,,
SubaruCrosstrek2.0PREMIUM,,14 290 €,,
ToyotaAristo,,21 666 €,,
ToyotaCrown majesta,,14 659 €,,
ToyotaHiace,,14 659 €,,
ToyotaPrado,,16 134 €, 18.11.2023 ETATS-UNISDétail,DIESEL196 068 Km1996AUTOMATIQUE96898DEVIS ASSURANCEVENDEZ
ToyotaTacomaV6 4.0,,21 205 €,,
NissanMuranoSV,,17 517 €,,
ToyotaCorollaSE,,16 595 €,,
LexusGx 470,,15 212 €,,
ToyotaSiennaSE,,22 122 €,,
MercedesClasse clsCls 550,,22 122 €,,
JeepWranglerUnlimitedSAHARA,,16 134 €,,
ToyotaPrado,,32 176 €,,
ToyotaTacomaV6 3.5TRD SPORT,,34 112 €,,
ToyotaTacoma,,20 744 €,,
VolkswagenTransporter,,73 756 €,,
NissanCargo,,10 971 €,,
SubaruSambar0.7,,12 446 €,,
SuzukiSx42.0,,8 205 €,,
ToyotaCrown,,11 893 €,,
ToyotaCrown,,13 368 €,,
ToyotaDyna,,11 893 €,,
ToyotaEstima,,10 049 €,,
ToyotaEstima,,10 049 €,,
ToyotaEstima,,8 205 €,,
ToyotaHiace2.0,,13 737 €,,
ToyotaLite ace,,10 049 €,,
MazdaCx-5TOURING,,10 602 €,,
ToyotaPrius+1.8,,10 971 €,,
ToyotaSequoiaV8 4.7SR5,,9 680 €, 18.11.2023 ETATS-UNISDétail,ESSENCE191 047 Km2007AUTOMATIQUE96898DEVIS ASSURANCEVENDEZ
NissanJukeSPORT,,8 293 €,,
BmwSerie 5535,,6 361 €,,
ToyotaCamryLIMITED EDITION,,12 815 €,,
LexusRx 350,,11 801 €,,
ToyotaRav4LIMITED EDITION,,12 903 €,,
HondaCr-vEX,,10 326 €,,
HondaAccordEX L,,13 825 €,,
ChevroletCruze,,11 524 €,,
SubaruLegacyLIMITED,,12 886 €,,
HondaAccordLX,,6 915 €,,
HyundaiSonataSE,,10 137 €,,
InfinitiG37JOURNEY,,11 059 €,,
HondaCivicLX,,10 137 €,,
NissanRogueSPORT,,9 215 €,,
ScionTc,,9 215 €,,
ToyotaCamryLIMITED EDITION,,10 137 €,,
FordMustangGtGT,,11 981 €,,
MercedesClasse sS 550,,11 981 €,,
ToyotaHighlanderLIMITED EDITION,,6 361 €,,
HondaCivic,,7 837 €,,
SubaruLegacyLIMITED,,13 368 €,,
HyundaiSonataSE,,10 602 €,,
HondaCivicLX,,11 524 €,,
ChevroletAvalancheLT,,7 560 €,,
HyundaiGenesisLUXURY,,5 440 €, 18.11.2023 ETATS-UNISDétail,ESSENCE193 121 Km2012AUTOMATIQUE96820DEVIS ASSURANCEVENDEZ
HondaCr-v,,2 950 €,,
NissanAltima,,3 042 €,,
FordFocusSE,,2 397 €,,
MercedesClasse glsGls 63,,64 444 €,,
InfinitiM37,,9 127 €,,
NissanArmadaV8 5.6SE,,7 283 €,,
NissanCube1.8S,,6 361 €,,
MercedesClasse glkGlk 350,,11 524 €,,
HondaCivic2.0SI,,13 737 €,,
HondaCivic1.8LX,,10 049 €,,
HondaAccord2.4LX,,10 602 €,,
FordFusion1.5SE,,9 680 €,,
DodgeRam 1500V8 5.7,,8 205 €,,
HondaCr-vSPORT,,11 059 €,,
ToyotaCorollaS,,9 215 €,,
HondaCr-vEX L,,6 361 €,,
VolkswagenGolfGti2.0,,11 059 €,,
HondaPilotEX L,,5 066 €,,
NissanAltima,,6 361 €,,
ToyotaCorolla1.8LIMITED EDITION,,10 602 €,,
MercedesClasse cC 350,,6 915 €,,
CadillacEscaladeSPORT,,6 449 €,,
HondaAccordLX,,9 215 €,,
ToyotaSiennaLIMITED EDITION,,13 825 €,,
FordFiesta,,8 205 €, 19.11.2023 ETATS-UNISDétail,ESSENCE74 889 Km2014AUTOMATIQUE96844DEVIS ASSURANCEVENDEZ
ChevroletColoradoLT,,27 659 €,,
ToyotaTacomaV6 3.5TRD SPORT,,26 737 €,,
Toyota4runner,,26 276 €,,
GmcSierra 1500Crew cabV8 6.2SLT,,25 722 €,,
PorschePanameraGts,,52 547 €,,
NissanFrontier,,27 659 €,,
Land roverRange roverV8 5.0AWD,,32 729 €,,
LexusRcfV8 5.0F SPORT,,34 108 €,,
MazdaCx-5TOURING,,18 439 €,,
ToyotaTacoma,,21 205 €,,
ToyotaTundraV8 4.6SR5,,19 361 €,,
HondaCivicEX,,17 056 €,,
FordF150Super crewV8 5.0FX2,,16 503 €,,
ChevroletAstro,,14 659 €,,
AcuraRdx,,16 134 €,,
ToyotaCorolla,,15 581 €,,
FordMustang cabriolet,,22 127 €,,
FordF150Super crewXLT,,16 590 €,,
TeslaModel s,,22 122 €,,
Toyota4runnerSR5,,20 278 €,,
NissanKicksSR,,19 361 €,,
LotusEuropa,,32 268 €,,
JeepWranglerUnlimited,,29 963 €,,
ToyotaTundraSR5,,32 264 €,,
LexusGx 460F SPORT,,32 264 €, 19.11.2023 ETATS-UNISDétail,ESSENCE104 607 Km2015AUTOMATIQUE96898DEVIS ASSURANCEVENDEZ
ToyotaTacomaV6 3.5TRD SPORT,,29 498 €,,
KiaSoul,,10 971 €,,
MercedesClasse e break300 te,,12 522 €,,
Porsche911 targaprix initial : 31 937,,NC,,
ChryslerImperialprix initial : 53 421,,NC,,
VolvoAmazon123prix initial : 32 167,,NC,,
Porsche911BASEprix initial : 98 800,,NC,,
TvrChimaeraprix initial : 20 449,,NC,,
BmwSerie 3316prix initial : 12 407,,NC,,
BmwSerie 6635,,21 254 €,,
MercedesClasse gG 240prix initial : 14 820,,NC,,
HondaCivicLX,,2 720 €,,
KiaSorento,,4 518 €,,
GmcSierra 2500hdCrew cab,,14 106 €,,
Toyota4runner,,21 205 €,,
ToyotaTacomaV6 3.4prix initial : 9 680,,8 482 €,,
FordF450,,9 680 €,,
NissanArmada,,13 829 €,,
ChevroletS10,,3 688 €,,
NissanAltima2.5S,,9 220 €,,
ToyotaSequoiaprix initial : 3 226,,2 766 €,,
ToyotaSiennaLIMITED EDITION,,3 872 €,,
FordF350Crew cabV8 6.0LARIATprix initial : 16 595,,15 212 €,,
ToyotaTacomaTRD SPORT,,27 198 €,,
PorscheCayenneV6 3.0prix initial : 55 317,,54 390 €, 03.11.2023 ETATS-UNISDétail,ESSENCE55 854 Km2021AUTOMATIQUE96709DEVIS ASSURANCEVENDEZ
BmwSerie 5 touring520sponsorisée,,NC,,
AudiQ7PREMIUM EDITIONQUATTROprix initial : 9 219,,5 532 €,,
HyundaiSonataGLS,,5 993 €,,
MercedesClasse mMl 350,,18 439 €,,
HondaAccord2.0SPORT,,25 815 €,,
FordWindstarV6 3.8prix initial : 2 489,,2 305 €,,
IsuzuLa série n,,27 612 €,,
NissanLeafSLprix initial : 8 297,,6 454 €,,
MercedesClasse rR 350,,3 503 €,,
FordFusionHYBRIDprix initial : 8 758,,7 837 €,,
AudiA4S4,,12 446 €,,
HondaCivicLX,,13 829 €,,
NissanAltimaSL,,10 602 €,,
MitsubishiLancer,,3 227 €,,
LexusLs 500hF SPORT,,39 644 €,,
NissanFrontierSV,,19 822 €,,
HondaCivicEX,,16 134 €,,
NissanAltima2.5S,,14 751 €,,
LexusRx 350,,25 609 €,,
ToyotaTacoma,,23 510 €,,
ToyotaTacomaV6 4.0,,36 878 €,,
ToyotaTacomaprix initial : 16 595,,13 829 €,,
Ram trucksRam 1500LIMITED,,46 098 €,,
ToyotaTacoma,,11 063 €,,
ToyotaCamry,,5 808 €,,
ChevroletCamaro cabrioletRs,,18 900 €,,
BmwSerie 5 touring520sponsorisée,,NC, 07.11.2023 ALLEMAGNEDétail,ESSENCE9 999 Km1994MANUELLE-DEVIS ASSURANCEVENDEZ
Toyota4runnerSR5,,23 049 €,,
FordF150V8 5.8XLT,,16 134 €,,
Toyota4runner,,30 424 €,,
LexusGs 300V6 3.5,,5 071 €,,
ToyotaRav4LIMITED EDITION,,23 049 €,,
ToyotaRav4SE,,16 595 €,,
Toyota4runnerTRD OFF ROAD,,34 112 €,,
DodgeGrand caravan,,25 354 €,,
JeepGrand cherokee,,2 766 €,,
SubaruForester,,1 106 €,,
SubaruOutback,,4 518 €,,
VolkswagenGolf,,12 446 €,,
DodgeRam 3500,,20 283 €,,
DodgeGrand caravanprix initial : 20 743,,18 900 €,,
FordE350V8 5.4,,9 680 €,,
ChevroletSuburbanLTZ,,32 176 €,,
HyundaiSanta feV6 3.5prix initial : 11 985,,10 787 €,,
Ram trucksRam 2500,,44 254 €,,
DodgeRam 3500,,11 063 €,,
JeepWranglerUnlimitedRUBICON,,55 316 €,,
ChevroletBlazer,,2 305 €,,
CadillacEscaladeV8 6.2AWD,,29 963 €,,
KiaSorento,,29 963 €,,
ToyotaSequoiaV8 5.7,,35 034 €,,
FordF350Crew cab,,73 295 €, 04.11.2023 ETATS-UNISDétail,DIESEL864 Km2017AUTOMATIQUE99669DEVIS ASSURANCEVENDEZ
ChevroletMalibu,,5 071 €,,
DodgeRam 1500,,14 659 €,,
GmcSierra 3500V8 7.4,,13 737 €,,
FordF350,,25 815 €,,
FordF250V8 6.2XLT,,21 666 €,,
Ram trucksRam 1500,,14 290 €,,
JeepWranglerUnlimited,,17 379 €,,
Ram trucksRam 2500Crew cab,,41 949 €,,
LincolnMkxprix initial : 10 602,,10 141 €,,
FordF250,,34 573 €,,
JeepCherokee,,35 945 €,,
Ram trucksRam 1500Crew cab,,35 945 €,,
JeepWranglerUnlimited,,35 023 €,,
DodgeChallenger,,34 101 €,,
KiaStinger,,34 101 €,,
ChevroletColoradoZ71,,33 179 €,,
DodgeCharger,,32 257 €,,
DodgeDurango,,32 257 €,,
DodgeChallenger,,32 257 €,,
ChevroletSilverado 1500Regular cab,,31 335 €,,
FordRanger,,30 413 €,,
JeepCherokee,,27 647 €,,
FordEscape,,27 647 €,,
FordFlexPLATINUM,,27 647 €,,
FordEscape,,26 725 €, 17.11.2023 ETATS-UNISDétail,ESSENCE42 875 Km2021AUTOMATIQUE99669DEVIS ASSURANCEVENDEZ
JeepGrand cherokee,,26 272 €,,
FordMustangGtprix initial : 25 803,,23 960 €,,
JeepCherokee,,23 873 €,,
JeepWranglerUnlimited,,23 732 €,,
FordEscape,,23 038 €,,
JeepRenegadeALPINE EDITION,,23 038 €,,
Mazda6,,22 116 €,,
KiaRio,,18 428 €,,
JeepCompass,,17 506 €,,
FordExpedition,,61 760 €,,
FordF150Super crew,,60 838 €,,
Ram trucksRam 2500Crew cab,,58 806 €,,
Ram trucksRam 2500Crew cab,,57 611 €,,
FordF350Crew cab,,56 228 €,,
FordBronco2.3,,55 306 €,,
FordExpedition,,54 373 €,,
GmcSierra 1500Crew cabLIMITED,,54 359 €,,
Ram trucksRam 2500Crew cab,,53 462 €,,
FordExpedition,,53 462 €,,
GmcYukonDenali,,53 462 €,,
FordF150Super crew,,47 930 €,,
NissanTitan,,46 086 €,,
JeepGrand cherokee,,46 086 €,,
FordRanger,,46 086 €,,
FordExpedition max,,46 086 €, 17.11.2023 ETATS-UNISDétail,ESSENCE69 382 Km2021AUTOMATIQUE99669DEVIS ASSURANCEVENDEZ
FordBronco2.3,,46 086 €,,
FordExpedition max,,46 086 €,,
Ram trucksRam 1500Crew cab,,45 164 €,,
FordF150Super crew,,44 243 €,,
JeepGladiatorV6 3.6,,43 321 €,,
FordExplorer,,40 555 €,,
DodgeDurango,,39 633 €,,
FordF150Super crew,,39 633 €,,
ChevroletSilverado 1500Crew cab,,38 714 €,,
JeepWranglerUnlimited,,37 789 €,,
FordRanger,,36 867 €,,
JeepWranglerUnlimited,,36 867 €,,
GmcSierra 3500hdCrew cab,,73 745 €,,
GmcYukon xl,,62 682 €,,
FordExpedition,,67 291 €,,
FordExpedition max,,55 306 €,,
FordF150Super crew,,48 852 €,,
FordBronco2.3,,47 930 €,,
ChevroletSilverado 1500Crew cab,,46 086 €,,
JeepWranglerUnlimited,,41 477 €,,
FordF150Super crew,,40 558 €,,
JeepWranglerUnlimited,,36 867 €,,
Ram trucksRam 1500Crew cab,,36 867 €,,
FordEscape,,29 491 €,,
JeepRenegade,,27 647 €, 18.11.2023 ETATS-UNISDétail,ESSENCE10 041 Km2021AUTOMATIQUE99669DEVIS ASSURANCEVENDEZ
FordEscape,,23 960 €,,
FordF150Super crew,,54 384 €,,
ChevroletSilverado 1500Crew cab,,46 086 €,,
FordF150Super crew,,44 243 €,,
DodgeDurango,,40 094 €,,
JeepWranglerUnlimited,,37 789 €,,
Mazda2,,4 610 €,,
FordTransitVan,,69 146 €,,
Ram trucksRam 2500Mega cabLIMITED,,43 331 €,,
FordE350,,6 454 €,,
ChevroletTahoe,,7 837 €,,
KiaSedona,,5 993 €,,
FordF150Super crewLARIAT,,9 220 €,,
JeepWranglerUnlimitedSAHARAprix initial : 32 498,,32 176 €,,
FordF250prix initial : 9 219,,8 298 €,,
ChevroletSilverado 1500Crew cab,,15 212 €,,
ToyotaSiennaV6 3.5LIMITED EDITIONprix initial : 23 580,,23 949 €,,
ToyotaCorollaLIMITED EDITIONprix initial : 16 205,,15 652 €,,
ToyotaCamryLIMITED EDITIONprix initial : 17 127,,17 496 €,,
ToyotaCamryLIMITED EDITIONprix initial : 18 049,,19 340 €,,
ToyotaCamryLIMITED EDITIONprix initial : 16 573,,17 496 €,,
ToyotaCorollaLIMITED EDITIONprix initial : 15 651,,14 730 €,,
ToyotaCorollaLIMITED EDITION,,14 730 €,,
ToyotaCamrySEprix initial : 18 049,,18 233 €,,
ToyotaCorollaLIMITED EDITIONprix initial : 15 651,,15 744 €, 26.10.2023 ETATS-UNISDétail,ESSENCE74 955 Km2017AUTOMATIQUE99529DEVIS ASSURANCEVENDEZ
Fiat5000.5sponsorisée,,NC,,
ToyotaSiennaV6 3.5LIMITED EDITIONprix initial : 23 580,,22 106 €,,
Toyota4runnerV6 4.0SR5prix initial : 33 168,,32 247 €,,
ToyotaCamrySEprix initial : 18 049,,17 496 €,,
Toyota4runnerV6 4.0SR5,,27 637 €,,
Saab9-5ARC,,6 915 €,,
ToyotaSiennaLIMITED EDITIONprix initial : 18 875,,17 512 €,,
LexusRx 350AWDprix initial : 14 751,,13 737 €,,
ToyotaSiennaLIMITED EDITION,,9 035 €,,
SubaruOutback,,14 751 €,,
ChevroletMalibuLT,,16 503 €,,
FordTransitWagonXLT,,26 276 €,,
JeepLibertySPORT,,11 063 €,,
FordEscapeXLS,,6 361 €,,
ToyotaSienna,,30 286 €,,
DodgeGrand caravanV6 3.6,,22 035 €,,
ChevroletMalibu,,25 354 €,,
ChevroletBlazerV6 3.6,,30 397 €,,
ToyotaCamrySE,,20 237 €,,
FordExplorerprix initial : 16 134,,14 290 €,,
Ram trucksRam 2500V8 5.7,,17 517 €,,
KiaE-niroEXprix initial : 33 190,,30 424 €,,
AcuraRdxBASEprix initial : 37 795,,30 420 €,,
KiaForteprix initial : 22 122,,17 512 €,,
InfinitiQ70LUXEprix initial : 32 263,,25 810 €,,
KiaStingerV6 3.3GT LINEprix initial : 37 283,,36 730 €,,
Fiat5000.5sponsorisée,,NC, 11.11.2023 ITALIEDétail,ESSENCE20 118 Km1970MANUELLE51039DEVIS ASSURANCEVENDEZ
KiaForteGT LINE PREMIUM,,22 970 €,,
GmcCanyonDenali,,35 029 €,,
GmcSierra 1500LIMITED,,44 249 €,,
GmcSierra 1500SLE,,36 873 €,,
GmcSierra 1500,,42 405 €,,
GmcSierra 1500SLT,,47 937 €,,
VolvoXc60T5MOMENTUM,,33 186 €,,
KiaEv6GtGT LINEprix initial : 50 218,,49 481 €,,
KiaSportageX LINEprix initial : 35 941,,30 779 €,,
BmwX3M40i,,51 625 €,,
MazdaCx-5GRAND TOURING,,31 342 €,,
SubaruAscentLIMITED,,31 342 €,,
VolkswagenPassatSE,,16 590 €,,
VolkswagenJettaSE,,14 747 €,,
KiaK5GT LINEprix initial : 28 215,,28 400 €,,
SubaruOutbackLIMITED,,31 342 €,,
MazdaCx-5GRAND TOURING,,21 200 €,,
Mazda3TOURING,,16 590 €,,
SubaruOutback,,34 108 €,,
GmcTerrainSLT,,28 576 €,,
KiaSportageEXprix initial : 35 429,,30 268 €,,
KiaSorento1.6S,,35 167 €,,
KiaSportageX LINEprix initial : 38 038,,32 231 €,,
KiaSorento1.6SX,,40 791 €,,
HyundaiElantraSEprix initial : 13 829,,11 524 €, 14.09.2023 ETATS-UNISDétail,ESSENCE91 873 Km2018AUTOMATIQUE99503DEVIS ASSURANCEVENDEZ
MiniMiniCooper1.3sponsorisée,,NC,,
KiaK5GT LINE,,28 981 €,,
KiaSoulEXprix initial : 24 814,,25 736 €,,
MazdaCx-5TOURINGprix initial : 22 122,,18 434 €,,
VolvoXc40T5R DESIGN,,35 951 €,,
MazdaCx-5SPORT,,18 434 €,,
KiaSeltosSprix initial : 30 962,,27 275 €,,
KiaSeltosSprix initial : 30 598,,26 911 €,,
KiaSportageX LINEprix initial : 35 577,,29 770 €,,
KiaSorento1.6X LINEprix initial : 43 888,,40 201 €,,
AcuraMdxTECH,,51 808 €,,
KiaSportage1.6LX4X2prix initial : 29 026,,29 744 €,,
MiniClubmanCooper sprix initial : 26 736,,23 971 €,,
AcuraMdxTECH,,51 625 €,,
KiaSorento1.6SXprix initial : 48 337,,49 255 €,,
KiaForteLXprix initial : 19 738,,18 356 €,,
AcuraMdxA SPEC,,54 574 €,,
AcuraMdxA SPEC,,54 390 €,,
VolkswagenJettaWHITE,,12 903 €,,
KiaTellurideSXprix initial : 48 840,,58 059 €,,
KiaTellurideX LINEprix initial : 47 904,,57 123 €,,
KiaTellurideX LINEprix initial : 50 218,,59 437 €,,
KiaSorento1.6Sprix initial : 33 503,,34 425 €,,
KiaSportageLXprix initial : 33 617,,27 811 €,,
KiaSorento1.6X LINEprix initial : 42 814,,39 127 €,,
KiaSportageEXprix initial : 35 314,,29 507 €,,
MiniMiniCooper1.3sponsorisée,,NC, 10.11.2023 ESPAGNEDétail,ESSENCE73 000 Km1993MANUELLE08398DEVIS ASSURANCEVENDEZ
MercedesClasse sl300 slsponsorisée,,NC,,
Mazda3,,25 810 €,,
MercedesClasse claCla 2504MATIC,,20 278 €,,
KiaSportageX LINEprix initial : 36 296,,30 489 €,,
KiaSorento1.6Sprix initial : 39 311,,35 623 €,,
KiaTellurideS,,48 102 €,,
SubaruForesterLIMITED,,29 498 €,,
SubaruForester,,34 108 €,,
KiaForteprix initial : 20 199,,18 817 €,,
HyundaiSonataSEprix initial : 15 673,,14 751 €,,
KiaSportageX LINEprix initial : 36 960,,31 153 €,,
KiaSportageX LINEprix initial : 35 941,,30 134 €,,
KiaSportageEXprix initial : 35 129,,30 152 €,,
KiaSportage1.6LXprix initial : 28 373,,29 844 €,,
KiaSportage1.6LX,,29 691 €,,
KiaSorento1.6Sprix initial : 39 868,,36 365 €,,
KiaK5GT LINE,,29 875 €,,
KiaSorento1.6SXprix initial : 46 834,,43 146 €,,
KiaRio1.0LXprix initial : 16 595,,15 673 €,,
KiaSorento1.6S,,35 956 €,,
KiaForteGT LINEprix initial : 21 933,,20 550 €,,
VolvoV50Drive,,5 071 €,,
NissanSentra2.0SV,,21 384 €,,
FordExpeditionSPORT,,5 532 €,,
SubaruForester2.5LIMITED,,29 681 €,,
Mazda32.5,,25 993 €,,
MercedesClasse sl300 slsponsorisée,,NC, 10.11.2023 PAYS-BASDétail,ESSENCE196 000 Km1991AUTOMATIQUE7693DEVIS ASSURANCEVENDEZ
FordFlexSELprix initial : 9 127,,7 283 €,,
AcuraRdxBASE,,42 405 €,,
MercedesClasse glcGlc 3004MATIC,,35 951 €,,
HyundaiTucson1.6SEL,,28 759 €,,
KiaK5GT LINE,,29 718 €,,
AcuraRdxA SPEC,,42 589 €,,
InfinitiQ70V6 3.73.7,,17 517 €,,
VolvoXc60T8INSCRIPTION,,48 859 €,,
VolvoXc60Polestar,,52 547 €,,
NissanXterraV6 4.0,,9 220 €,,
ChevroletSilverado 1500V8 5.3LT,,34 291 €,,
NissanJukeR1.6,,14 008 €,,
NissanXterra,,9 220 €,,
NissanXterra,,9 220 €,,
FordExplorerV6 3.7POLICE INTERCEPTOR,,9 220 €,,
NissanXterraV6 4.0,,9 220 €,,
KiaE-niroLX,,25 722 €,,
KiaE-niroLX,,26 087 €,,
KiaSportage1.6LX4X2prix initial : 27 109,,26 234 €,,
KiaSportage1.6LX4X2prix initial : 27 570,,26 695 €,,
KiaSportageLX,,27 493 €,,
KiaSportage1.6LX4X2prix initial : 27 492,,26 617 €,,
